route_id,bus_number,starting_point,ending_point,via,via_stops,bus_count,high_frequency_route,night_service_route,low_frequency_route,rainfall_index
295,510,padappai,cmbt,"Karasangal, Mudichur, Tambaram, Pallavaram, Ashok Pillar","['Karasangal', ' Mudichur', ' Tambaram', ' Pallavaram', ' Ashok Pillar']",5,0,0,1,45
296,514,periyapalayam,cmbt,"Lucas, Puzhal, Red Hills, Karanodai,Janappan chathram x road, Bandikavanoor,Kannigaipair","['Lucas', ' Puzhal', ' Red Hills', ' Karanodai', 'Janappan chathram x road', ' Bandikavanoor', 'Kannigaipair']",7,0,0,0,2
297,515,tambaram,mamallapuram,"Vandalur Zoo, Kolapakkam, Vengambakkam, Kandigai, Melkottaiyur, Rathinamangalam, Kilkottaiyur, Mambakkam, Pudhupakkam, Kelambakkam, Kalavakkam, Thirupporur, Thandalam, Paiyanoor","['Vandalur Zoo', ' Kolapakkam', ' Vengambakkam', ' Kandigai', ' Melkottaiyur', ' Rathinamangalam', ' Kilkottaiyur', ' Mambakkam', ' Pudhupakkam', ' Kelambakkam', ' Kalavakkam', ' Thirupporur', ' Thandalam', ' Paiyanoor']",14,1,0,0,16
298,515V,vandalur,kelambakkam,Mambakkam,['Mambakkam'],1,0,0,0,76
299,517,pallavaram,vadanemili,"Chrompet, Tambaram Sanatorium, Tambaram, Vandalur, Kandigai, Mambakkam, Pudhupakkam, Chettinad Hospital, Kelambakkam, Kovalam, Thiruvidanthai","['Chrompet', ' Tambaram Sanatorium', ' Tambaram', ' Vandalur', ' Kandigai', ' Mambakkam', ' Pudhupakkam', ' Chettinad Hospital', ' Kelambakkam', ' Kovalam', ' Thiruvidanthai']",11,0,0,0,71
300,517K,pallavaram,kovalam,"Eachangadu, Kovilambakkam, Medavakkam Koot Road, Sholinganallur, Kelambakkam","['Eachangadu', ' Kovilambakkam', ' Medavakkam Koot Road', ' Sholinganallur', ' Kelambakkam']",5,0,0,1,26
301,517T,pallavaram,thirupporur,"Eachangadu, Kovilambakkam, Medavakkam Koot Road, Sholinganallur, Kelambakkam","['Eachangadu', ' Kovilambakkam', ' Medavakkam Koot Road', ' Sholinganallur', ' Kelambakkam']",5,0,0,1,47
302,519,t. nagar,thirupporur,"Saidapet, Tidel park,Sholinganallur, Kelambakkam","['Saidapet', ' Tidel park', 'Sholinganallur', ' Kelambakkam']",4,0,0,1,95
303,519 cut,adyar,thirupporur,"SRP tools, Sholinganallur, Kelambakkam, Kalavakkam","['SRP tools', ' Sholinganallur', ' Kelambakkam', ' Kalavakkam']",4,1,0,0,93
304,519A,t. nagar,aalathur ie,"Saidapet, Tidel park,Sholinganallur, Kelambakkam, Thirupporur","['Saidapet', ' Tidel park', 'Sholinganallur', ' Kelambakkam', ' Thirupporur']",5,0,0,1,85
305,519A cut,adyar,aalathur ie,"SRP tools, Sholinganallur, Kelambakkam, Thirupporur","['SRP tools', ' Sholinganallur', ' Kelambakkam', ' Thirupporur']",4,0,0,1,64
306,519T,adyar,thaiyur,"Perungudi,Sholinganallur,Kelambakkam","['Perungudi', 'Sholinganallur', 'Kelambakkam']",3,0,0,0,11
307,51A,tambaram east,agaramthen,Camp Road,['Camp Road'],1,0,0,0,36
308,51B,saidapet,karanai,"Checkpost, Velachery, Narayanapuram, Pallikaranai, Medavakkam, Sithalapakkam koot road, Sithalapakkam, Arasan kazhani, Ottiyambakkam","['Checkpost', ' Velachery', ' Narayanapuram', ' Pallikaranai', ' Medavakkam', ' Sithalapakkam koot road', ' Sithalapakkam', ' Arasan kazhani', ' Ottiyambakkam']",9,0,0,0,83
309,51B xt,t.nagar,ottiyambakkam,"Saidapet, Checkpost, Velachery, Narayanapuram, Pallikaranai, Medavakkam, Sithalapakkam koot road, Sithalapakkam, Arasan kazhani","['Saidapet', ' Checkpost', ' Velachery', ' Narayanapuram', ' Pallikaranai', ' Medavakkam', ' Sithalapakkam koot road', ' Sithalapakkam', ' Arasan kazhani']",9,0,0,0,15
310,51D,tambaram east,broadway,"Convent, Camp road, Rajakilpakkam, Kozhipannai, Madambakkam, jothi nagar, Noothencherry, Vengaivasal, Santhosapuram, Medavakkam Koot road, Medavakkam, Pallikaranai, Velacherry, Ssidapet, DMS, TVS, LIC, Central","['Convent', ' Camp road', ' Rajakilpakkam', ' Kozhipannai', ' Madambakkam', ' jothi nagar', ' Noothencherry', ' Vengaivasal', ' Santhosapuram', ' Medavakkam Koot road', ' Medavakkam', ' Pallikaranai', ' Velacherry', ' Ssidapet', ' DMS', ' TVS', ' LIC', ' Central']",18,0,0,0,44
311,51E,saidapet,madipakkam bs,"Velachery, Ram nagar","['Velachery', ' Ram nagar']",2,0,0,0,54
312,51F,sunnabu kulathur,t. nagar,Velachery,['Velachery'],1,0,0,0,92
313,51G,tambaram,vengaivasal,"Camp Road, Rajakilpakkam, Madambakkam","['Camp Road', ' Rajakilpakkam', ' Madambakkam']",3,0,0,0,52
314,51H,tambaram east,saidapet,"Velachery,Pallikkaranai, Medavakkam, Kamarajapuram, Camp Road","['Velachery', 'Pallikkaranai', ' Medavakkam', ' Kamarajapuram', ' Camp Road']",5,0,0,0,91
315,51J,broadway,ponmar,"Central, LIC, DMS, SIET, Saidapet, CheckpostVelachery,Medavakkam,Sithalapakkam koot road,Kovilancherry,Madurapakkam","['Central', ' LIC', ' DMS', ' SIET', ' Saidapet', ' CheckpostVelachery', 'Medavakkam', 'Sithalapakkam koot road', 'Kovilancherry', 'Madurapakkam']",10,1,0,0,91
316,51K,tambaram east,navalur,"Camp Road, Zion School, Madambakkam,Sithalapakkam Koot road, Sithalapakkam, Ottiyambakkam, Karanai, Thalambur","['Camp Road', ' Zion School', ' Madambakkam', 'Sithalapakkam Koot road', ' Sithalapakkam', ' Ottiyambakkam', ' Karanai', ' Thalambur']",8,0,0,0,21
317,51L,tambaram east,cmbt,"Vadapalani, Guindy, Velachery, Pallikkaranai, Medavakkam, Kamarajapuram, Camp Road","['Vadapalani', ' Guindy', ' Velachery', ' Pallikkaranai', ' Medavakkam', ' Kamarajapuram', ' Camp Road']",7,0,0,0,65
318,51M,t. nagar,madipakkam bs,"Saidapet, Guindy, NGO Colony, ST Thomas Mount, Vanuvampet, Madipakkam Koot road","['Saidapet', ' Guindy', ' NGO Colony', ' ST Thomas Mount', ' Vanuvampet', ' Madipakkam Koot road']",6,0,0,0,93
319,51N,t.nagar,moovarasampet,"Saidapet, Guindy, NGO Colony, ST Thomas Mount, Vanuvampet, Madipakkam Koot road","['Saidapet', ' Guindy', ' NGO Colony', ' ST Thomas Mount', ' Vanuvampet', ' Madipakkam Koot road']",6,0,0,0,74
320,51P,high court,puzhudivakkam bs,Gunidy Race Course,['Gunidy Race Course'],1,0,0,0,94
321,51R,broadway,madipakkam bs,"Puzhudivakkam, Guindy Race Course","['Puzhudivakkam', ' Guindy Race Course']",2,0,0,0,81
322,51S,saidapet,tambaram east,"St.Thomas Mount, Madippakkam, Keelkattalai, Medavakkam Koot Road, Kamarajapuram, Camp Road","['St.Thomas Mount', ' Madippakkam', ' Keelkattalai', ' Medavakkam Koot Road', ' Kamarajapuram', ' Camp Road']",6,0,0,0,36
323,51T,tambaram east,ponmar,"Camp road, Balaji nagar, Thiruvancherry, Paduvancherry, Agaram then, Kovilancherry, Madurapakkam","['Camp road', ' Balaji nagar', ' Thiruvancherry', ' Paduvancherry', ' Agaram then', ' Kovilancherry', ' Madurapakkam']",7,0,0,0,78
324,52,pozhichalur,broadway,"Pallavaram, Guindy, Saidapet, DMS, TVS, LIC, Central RS","['Pallavaram', ' Guindy', ' Saidapet', ' DMS', ' TVS', ' LIC', ' Central RS']",7,0,0,0,92
325,521,"broadway, chennai",thirupporur,"Marina,Thiruvanmiyur,Perungudi,Sholinganallur,Kelambakkam","['Marina', 'Thiruvanmiyur', 'Perungudi', 'Sholinganallur', 'Kelambakkam']",5,0,0,0,3
326,522,adyar,manamathi,"Perungudi, Sholinganallur, Kelambakkam, Thirupporur","['Perungudi', ' Sholinganallur', ' Kelambakkam', ' Thirupporur']",4,0,0,0,77
327,523,thiruvanmiyur,perunthandalam,"Perungudi,Sholinganallur,Kelambakkam, Thirupporur","['Perungudi', 'Sholinganallur', 'Kelambakkam', ' Thirupporur']",4,0,0,1,48
328,523A,thiruvanmiyur,karumbakkam,"Perungudi, Sholinganallur, Kelambakkam, Thirupporur","['Perungudi', ' Sholinganallur', ' Kelambakkam', ' Thirupporur']",4,0,0,1,18
329,525,vadapalani,sunguvarchatiram,"Virugambakkam, Valasarawakkam, Porur, Poonamallee, Irrungattukottai, Sriperumbudur, Thirumangalam koot road,Mambakkam,Vadamangalam","['Virugambakkam', ' Valasarawakkam', ' Porur', ' Poonamallee', ' Irrungattukottai', ' Sriperumbudur', ' Thirumangalam koot road', 'Mambakkam', 'Vadamangalam']",9,1,0,0,12
330,527,broadway,thathamanji,"V.Nagar, Tondiarpet, Thiruvottriyur, Sathyamoorthy nagar, Minjur, Kadapakkam","['V.Nagar', ' Tondiarpet', ' Thiruvottriyur', ' Sathyamoorthy nagar', ' Minjur', ' Kadapakkam']",6,0,0,1,13
331,52B,hasthinapuram,highcourt,"Chrompet,Pallavaram, Guindy, Saidapet, DMS, TVS, LIC, Central RS","['Chrompet', 'Pallavaram', ' Guindy', ' Saidapet', ' DMS', ' TVS', ' LIC', ' Central RS']",8,1,0,0,50
332,52C,hasthinapuram,t.nagar,"Chrompet,Pallavaram, Guindy, Saidapet","['Chrompet', 'Pallavaram', ' Guindy', ' Saidapet']",4,1,0,0,58
333,52D,chitlapakkam,broadway,"Varadharaja Theater, Chrompet,Pallavaram, Guindy, Saidapet, DMS, TVS, LIC, Central RS","['Varadharaja Theater', ' Chrompet', 'Pallavaram', ' Guindy', ' Saidapet', ' DMS', ' TVS', ' LIC', ' Central RS']",9,0,0,1,58
334,52E,high court,nemilicheri,"Chrompet, Pallavaram, Guindy, Saidapet, DMS, TVS, LIC, Central RS","['Chrompet', ' Pallavaram', ' Guindy', ' Saidapet', ' DMS', ' TVS', ' LIC', ' Central RS']",8,1,0,0,50
335,52G,high court,cowl bazaar,"Pallavaram, Guindy, Saidapet, DMS, TVS, LIC, Central RS","['Pallavaram', ' Guindy', ' Saidapet', ' DMS', ' TVS', ' LIC', ' Central RS']",7,1,0,0,62
336,52H,pozhichalur,manimangalam,"Pallavaram,Chrompet,Tambaram, Mudichur, Mannivakkam, Karasangal","['Pallavaram', 'Chrompet', 'Tambaram', ' Mudichur', ' Mannivakkam', ' Karasangal']",6,1,0,0,31
337,52K,high court,keelkattalai,"Nanganallur, Aasargana, Guindy,Anna Salai","['Nanganallur', ' Aasargana', ' Guindy', 'Anna Salai']",4,1,0,0,69
338,52L,high court,nanganallur,"Aasargana, Guindy,Anna Salai","['Aasargana', ' Guindy', 'Anna Salai']",3,1,0,0,8
339,52P,high court,movarasampet,"Nanganallur, Guindy,Anna Salai","['Nanganallur', ' Guindy', 'Anna Salai']",3,1,0,0,34
340,52S,nemilicheri,pozhichalur,"Chrompet, Pallavaram","['Chrompet', ' Pallavaram']",2,0,0,0,56
341,52T,pallavaram,thirumalai nagar,"Chrompet, Hasthinapuram","['Chrompet', ' Hasthinapuram']",2,0,0,0,75
342,53,broadway,poonamallee,"Kumananchavadi, Mathruvayoil, Arumbakkam, Aminijikarai, KMC, Central R.S","['Kumananchavadi', ' Mathruvayoil', ' Arumbakkam', ' Aminijikarai', ' KMC', ' Central R.S']",6,1,0,0,1
343,532,vallalar nagar,periyapalayam,"Basin Bridge, Vyasarpadi, Moolakadai, Puzhal, Red Hills, Karanodai, Arani","['Basin Bridge', ' Vyasarpadi', ' Moolakadai', ' Puzhal', ' Red Hills', ' Karanodai', ' Arani']",7,0,0,0,88
344,533,arani,cmbt,,[],0,0,0,0,40
345,536,pattabiram,ponneri,"Avadi, Ambattur O.T., Pudhur, Puzhal, Red Hills","['Avadi', ' Ambattur O.T.', ' Pudhur', ' Puzhal', ' Red Hills']",5,0,0,0,15
346,538,vadapalani,kadambathur,"Virugamabakkam, Valasarawakkam,Porur, Iyyapanthangal, Kumananchavadi, Poonamallee, Thirumazhisai, Nemam, Manavalan Nagar, Thiruvallur, Thirupatchur","['Virugamabakkam', ' Valasarawakkam', 'Porur', ' Iyyapanthangal', ' Kumananchavadi', ' Poonamallee', ' Thirumazhisai', ' Nemam', ' Manavalan Nagar', ' Thiruvallur', ' Thirupatchur']",11,0,0,0,95
347,53E,broadway,mangadu,"Kumananchavadi, Mathruvayoil, Arumbakkam, Aminijikarai, KMC, Central R.S","['Kumananchavadi', ' Mathruvayoil', ' Arumbakkam', ' Aminijikarai', ' KMC', ' Central R.S']",6,1,0,0,37
348,53K,cmbt,meppur,"Mathruvayoil, Kumananchavadi, Poonamallee,","['Mathruvayoil', ' Kumananchavadi', ' Poonamallee', '']",4,0,0,0,27
349,53P,pattur,broadway,"Mangadu, Kumananchavadi, Mathruvayoil, Arumbakkam, Aminijikarai, KMC, Central R.S","['Mangadu', ' Kumananchavadi', ' Mathruvayoil', ' Arumbakkam', ' Aminijikarai', ' KMC', ' Central R.S']",7,1,0,0,20
350,53S,pattabiram,cmbt,"Thiruverkadu, Sundaransozhapuram, Mettupalayam,Thandarai","['Thiruverkadu', ' Sundaransozhapuram', ' Mettupalayam', 'Thandarai']",4,0,0,1,60
351,54,poonamallee,broadway,"Kumananchavadi, Porur, Guindy, DMS, TVS, LIC, Central R.S","['Kumananchavadi', ' Porur', ' Guindy', ' DMS', ' TVS', ' LIC', ' Central R.S']",7,1,0,0,50
352,547,v nagar,periyapalayam,"Basin Bridge, Vyasarpadi, Moolakadai, Puzhal, Red Hills, Karanodai, Siruvapuri","['Basin Bridge', ' Vyasarpadi', ' Moolakadai', ' Puzhal', ' Red Hills', ' Karanodai', ' Siruvapuri']",7,0,0,0,68
353,549,thiruvanmiyur,sunguvarchathiram,"Adyar, Guindy, Porur, Iyyapanthangal, Kumananchavadi, Poonamallee, Irungatukottai, Sriperumbudur","['Adyar', ' Guindy', ' Porur', ' Iyyapanthangal', ' Kumananchavadi', ' Poonamallee', ' Irungatukottai', ' Sriperumbudur']",8,1,0,0,63
354,54A,poonamallee,thirunindravur,"Thirumazhisai, Vellavedu, Pudhuchatiram, Periyakottambedu, Kosavapalayam","['Thirumazhisai', ' Vellavedu', ' Pudhuchatiram', ' Periyakottambedu', ' Kosavapalayam']",5,1,0,0,97
355,54B,porur,saidapet,"Moulivakkam, Baikadai, Periyapannicherry, Kolapakkam, Manapakkam, Nandambakkam,Butt road, Kathipara, Guindy I.E, Little Mount","['Moulivakkam', ' Baikadai', ' Periyapannicherry', ' Kolapakkam', ' Manapakkam', ' Nandambakkam', 'Butt road', ' Kathipara', ' Guindy I.E', ' Little Mount']",10,0,0,0,81
356,54C,poonamallee,pattabiram,"Parivakkam, Chittukadu,Thandarai","['Parivakkam', ' Chittukadu', 'Thandarai']",3,1,0,0,61
357,54E,saidapet,meppur,"Guindy, Ramapuram, Porur, Kumanan chavadi, Poonamallee","['Guindy', ' Ramapuram', ' Porur', ' Kumanan chavadi', ' Poonamallee']",5,0,0,0,77
358,54F,poonamallee,mandaveli,"Kumananchavadi, Iyyapanthangal, Porur, Guindy, Adayar","['Kumananchavadi', ' Iyyapanthangal', ' Porur', ' Guindy', ' Adayar']",5,1,0,0,29
359,54F xt,mylapore,agaram mel,"Poonamallee, Kumananchavadi, Iyyapanthangal, Porur, Guindy, Adayar","['Poonamallee', ' Kumananchavadi', ' Iyyapanthangal', ' Porur', ' Guindy', ' Adayar']",6,0,0,0,30
360,54G,kuthambakkam,broadway,"Vellavedu, Thirumazhisai, Poonamallee, Porur, Guindy, DMS, TVS, LIC, Central R.S","['Vellavedu', ' Thirumazhisai', ' Poonamallee', ' Porur', ' Guindy', ' DMS', ' TVS', ' LIC', ' Central R.S']",9,0,0,0,99
361,54K,broadway,nemam,"Poonamallee, Kumananchavadi, SRMC, Porur, Guindy, Saidapet, DMS, TVS, LIC, Central R.S","['Poonamallee', ' Kumananchavadi', ' SRMC', ' Porur', ' Guindy', ' Saidapet', ' DMS', ' TVS', ' LIC', ' Central R.S']",10,0,0,0,68
362,54L,high court,vellavedu,"Poonamallee, Kumananchavadi, SRMC, Porur, Guindy, Saidapet, DMS, TVS, LIC, Central R.S","['Poonamallee', ' Kumananchavadi', ' SRMC', ' Porur', ' Guindy', ' Saidapet', ' DMS', ' TVS', ' LIC', ' Central R.S']",10,0,0,0,30
363,54M,high court,mangadu,"Paraniputhur, Baikadai, Moulivakkam, Porur, Guindy, Saidapet, DMS, TVS, LIC, Central R.S","['Paraniputhur', ' Baikadai', ' Moulivakkam', ' Porur', ' Guindy', ' Saidapet', ' DMS', ' TVS', ' LIC', ' Central R.S']",10,0,0,0,41
364,54P,poonamallee,t.nagar,"Kumanan chavadi, Mangadu, Paraniputhur, Baikadai, Moulivakkam, Porur, Guindy, Saidapet","['Kumanan chavadi', ' Mangadu', ' Paraniputhur', ' Baikadai', ' Moulivakkam', ' Porur', ' Guindy', ' Saidapet']",8,0,0,0,55
365,54S,vadaku malaiyambakkam,t.nagar,"Poonamallee, Kumanan chavadi, Iyyppanthangal, Porur, Guindy, Saidapet","['Poonamallee', ' Kumanan chavadi', ' Iyyppanthangal', ' Porur', ' Guindy', ' Saidapet']",6,0,0,0,53
366,54T,high court,chembarambakkam,"Poonamallee, Kumananchavadi, SRMC, Porur, Guindy, Saidapet, DMS, TVS, LIC, Central R.S","['Poonamallee', ' Kumananchavadi', ' SRMC', ' Porur', ' Guindy', ' Saidapet', ' DMS', ' TVS', ' LIC', ' Central R.S']",10,0,0,0,63
